(928,-388,-100)
(956,-368,-132)
(1020,-384,-96)
(936,-420,32)
(932,-404,-100)
(956,-424,-64)
(936,-432,-60)
(944,-404,-52)
(940,-408,-16)
(936,-416,-40)
(932,-436,-52)
(936,-432,-56)
(928,-424,-40)
(920,-440,-60)
(888,-400,-104)
(936,-412,-24)
(920,-420,-56)
(936,-372,-16)
(944,-364,-16)
(972,-380,0)
(928,-408,-88)
(932,-424,-56)
(932,-412,-44)
(952,-332,-76)
(964,-248,-44)
(1244,-408,60)
(964,-344,112)
(964,-484,20)
(960,-416,4)
(900,-424,20)
(948,-420,20)
(960,-404,-44)
(996,-380,-84)
(984,-348,-56)
(960,-368,-32)
(952,-312,-16)
(960,-312,-8)
(956,-392,20)
(968,-400,-4)
(964,-400,-20)
(948,-344,16)
(956,-364,12)
(948,-388,-16)
(960,-372,-36)
(968,-360,-40)
(960,-308,-20)
(948,-352,-32)
(952,-376,-52)
(960,-356,-36)
(956,-368,-36)
(952,-360,-24)
(952,-392,-32)
(960,-376,-12)
(960,-380,-16)
(960,-412,-28)
(964,-380,-24)
(960,-372,-48)
(952,-372,-28)
(952,-376,-52)
(956,-380,-60)
(948,-356,-40)
(952,-320,-40)
(944,-212,-4)
(888,24,80)
(1112,408,-416)
(604,300,212)
(780,280,76)
(1140,128,-44)
(1152,12,-220)
(1248,44,-220)
(1212,392,-76)
(1124,184,-20)
(1012,212,-232)
(1260,164,-100)
(1240,240,268)
(1220,144,-12)
(1152,128,-16)
(1044,128,-64)
(980,56,-48)
(928,76,-116)
(908,112,-52)
(884,80,-92)
(860,104,-64)
(960,148,-44)
(956,80,-168)
(992,72,-108)
(1044,120,-172)
(1088,116,-140)
(1196,188,-204)
(1228,144,-172)
(1300,176,12)
(1288,168,-200)
(1156,216,120)
(1216,268,88)
(1144,136,0)
(1124,268,76)
(1100,164,-152)
(992,168,-92)
(956,228,-116)
(936,196,-100)
(916,116,-236)
(984,208,-56)
(1012,244,-140)
(1096,204,-176)
(1096,152,-204)
(1156,212,-196)
(1172,164,-164)
(1276,168,-172)
(1248,184,-136)
(1224,64,-196)
(1244,88,-172)
(1308,96,-40)
(1128,176,40)
(1044,-20,-48)
(984,160,116)
(940,232,100)
(852,96,-164)
(804,96,-48)
(812,44,-40)
(964,52,-4)
(884,72,-292)
(1032,128,-188)
(1040,188,-132)
(1068,148,-176)
(1104,148,-140)
(1148,148,-188)
(1288,204,-132)
(1248,172,-160)
(1188,144,-244)
(1168,140,-192)
(1096,284,296)
(1068,-8,28)
(1052,404,188)
(1000,224,-68)
(1024,136,-156)
(984,200,-104)
(964,208,-92)
(1084,208,-32)
(992,188,-348)
(1096,192,-188)
(1052,156,-236)
(1112,184,-192)
(1160,168,-208)
(1204,180,-152)
(1192,204,-152)
(1232,184,-68)
(1148,292,-116)
(1180,176,-104)
(1204,-16,-212)
(1080,264,280)
(1032,324,144)
(956,120,140)
(900,228,52)
(804,92,-152)
(904,64,36)
(864,96,-188)
(1008,140,-124)
(904,96,-236)
(1024,136,-152)
(1044,112,-200)
(1100,140,-208)
(1180,164,-172)
(1172,172,-68)
(1176,268,-56)
(1132,-8,-340)
(1316,240,-36)
(916,176,-56)
(1048,292,232)
(1136,236,320)
(1140,296,-40)
(1100,216,-96)
(1064,144,-236)
(1120,252,-136)
(1076,216,-252)
(1120,228,-360)
(1140,176,-216)
(1092,172,-216)
(1048,120,-224)
(1120,208,-120)
(1136,168,-160)
(1200,176,-164)
(1204,164,-164)
(1172,152,-148)
(1128,196,-112)
(1088,168,-152)
(1112,4,-148)
(1060,272,224)
(1016,184,112)
(1016,192,88)
(920,140,-60)
(1020,64,76)
(864,80,-236)
(960,128,-80)
(904,64,-172)
(980,112,-128)
(1052,108,-172)
(1100,136,-164)
(1124,148,-192)
(1124,80,-180)
(1208,216,-92)
(1132,260,-188)
(1208,284,-272)
(1076,-72,-280)
(1152,244,-60)
(1172,440,-52)
(864,68,152)
(1020,156,-108)
(1064,448,-72)
(1016,108,-268)
(912,188,-136)
(992,212,-64)
(968,236,-68)
(1076,232,32)
(1036,148,-44)
(1132,180,-132)
(1156,200,-112)
(1188,180,-176)
(1192,180,-176)
(1184,168,-200)
(1164,172,-120)
(1176,84,-116)
(1132,172,-84)
(1148,72,-4)
(1012,128,64)
(1004,300,264)
(808,28,-40)
(912,196,76)
(904,200,-76)
(840,20,-156)
(988,212,-84)
(1020,48,-116)
(1096,136,-188)
(1044,128,-168)
(1128,216,-108)
(1076,228,-128)
(1112,204,-132)
(1196,208,-44)
(1096,164,-220)
(1196,240,-140)
(1116,208,-132)
(1076,240,-148)
(960,188,-248)
(1028,248,132)
(920,988,324)
(724,1500,20)
(468,2040,-1692)
(172,-112,-1408)
(1320,-152,-656)
(1672,-8,-388)
(204,588,240)
(360,-388,700)
(1552,-564,772)
(664,-488,-444)
(1496,336,-420)
(752,844,-76)
(852,12,156)
(928,220,-16)
(900,168,-28)
(1344,276,68)
(824,-92,-148)
(1364,-60,20)
(644,-48,380)
(1404,220,240)
(572,220,-28)
(1348,-120,184)
(980,28,272)
(896,8,88)
(1036,240,-8)
(1016,376,-328)
(668,160,24)
(1204,88,696)
(1136,420,220)
(1044,264,140)
(1044,184,-32)
(1024,620,24)
(900,92,332)
(712,1632,1248)
(1072,-56,428)
(980,228,176)
(1108,-112,156)
(1076,244,192)
(1668,420,-976)
(988,168,164)
(1024,0,148)
(1032,100,152)
(1060,-68,1796)
(996,-120,-256)
(972,140,200)
(988,212,156)
(976,212,136)
